channel_name,category,Sub-category,Customer Remarks,order_date_time,Issue_reported at,issue_responded,Survey_response_Date,Customer_City,Product_category,Item_price,connected_handling_time,Agent_name,Supervisor,Manager,Tenure Bucket,Agent Shift,CSAT Score,Response Time (mins)
Outcall,Product Queries,Life Insurance,No Remarks,,2023-01-08 11:13:00,2023-01-08 11:47:00,2023-08-01,Unknown,Unknown,,,Richard Buchanan,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,5.0,34.0
Outcall,Product Queries,Product Specific Information,No Remarks,,2023-01-08 12:52:00,2023-01-08 12:54:00,2023-08-01,Unknown,Unknown,,,Vicki Collins,Dylan Kim,Michael Lee,>90,Morning,5.0,2.0
Inbound,Order Related,Installation/demo,No Remarks,,2023-01-08 20:16:00,2023-01-08 20:38:00,2023-08-01,Unknown,Unknown,,,Duane Norman,Jackson Park,William Kim,On Job Training,Evening,5.0,22.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-01-08 20:56:00,2023-01-08 21:16:00,2023-08-01,Unknown,Unknown,,,Patrick Flores,Olivia Wang,John Smith,>90,Evening,5.0,20.0
Inbound,Cancellation,Not Needed,No Remarks,,2023-01-08 10:30:00,2023-01-08 10:32:00,2023-08-01,Unknown,Unknown,,,Christopher Sanchez,Austin Johnson,Michael Lee,0-30,Morning,5.0,2.0
Email,Returns,Fraudulent User,No Remarks,,2023-01-08 15:13:00,2023-01-08 18:39:00,2023-08-01,Unknown,Unknown,,,Desiree Newton,Emma Park,John Smith,0-30,Morning,5.0,206.0
Outcall,Product Queries,Product Specific Information,No Remarks,,2023-01-08 15:31:00,2023-01-08 23:52:00,2023-08-01,Unknown,Unknown,,,Shannon Hicks,Aiden Patel,Olivia Tan,>90,Morning,5.0,501.0
Inbound,Returns,Exchange / Replacement,Very good,,2023-01-08 16:17:00,2023-01-08 16:23:00,2023-08-01,Unknown,Unknown,,,Laura Smith,Evelyn Kimura,Jennifer Nguyen,On Job Training,Evening,5.0,6.0
Inbound,Returns,Missing,Shopzilla app and it's all coustomer care services is very good service provided all time,,2023-01-08 21:03:00,2023-01-08 21:07:00,2023-08-01,Unknown,Unknown,,,David Smith,Nathan Patel,John Smith,>90,Split,5.0,4.0
Inbound,Shopzilla Related,General Enquiry,No Remarks,,2023-01-08 23:31:00,2023-01-08 23:36:00,2023-08-01,Unknown,Unknown,,,Tabitha Ayala,Amelia Tanaka,Michael Lee,31-60,Evening,5.0,5.0
Outcall,Returns,Return request,No Remarks,,2023-02-08 18:14:00,2023-02-08 18:16:00,2023-08-02,Unknown,Unknown,,,Carla Morgan,Nathan Patel,Emily Chen,0-30,Evening,4.0,2.0
Inbound,Order Related,Delayed,Very bad,2023-07-19 23:50:00,2023-02-08 10:44:00,2023-02-08 11:14:00,2023-08-02,NAGPUR,LifeStyle,434.0,,Stanley Hogan,Harper Wong,Emily Chen,>90,Split,1.0,30.0
Inbound,Shopzilla Related,General Enquiry,No Remarks,,2023-01-08 10:09:00,2023-01-08 10:12:00,2023-08-01,Unknown,Unknown,,,Timothy Scott,Zoe Yamamoto,William Kim,On Job Training,Morning,4.0,3.0
Inbound,Shopzilla Related,General Enquiry,No Remarks,,2023-01-08 10:15:00,2023-01-08 11:21:00,2023-08-01,Unknown,Unknown,,,Shannon Hicks,Aiden Patel,Olivia Tan,>90,Morning,4.0,66.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-02-08 11:26:00,2023-02-08 11:44:00,2023-08-02,Unknown,Unknown,,,Mark Wilson,Scarlett Chen,John Smith,0-30,Morning,5.0,18.0
Inbound,Returns,Missing,No Remarks,,2023-02-08 19:56:00,2023-02-08 20:06:00,2023-08-02,Unknown,Unknown,,,Mark Black,Sophia Sato,John Smith,>90,Afternoon,5.0,10.0
Inbound,Returns,Service Centres Related,No Remarks,2023-05-06 21:41:00,2023-01-08 09:01:00,2023-01-08 09:03:00,2023-08-01,RANCHI,Electronics,1299.0,,Amy Mendez,Sophia Sato,John Smith,0-30,Morning,5.0,2.0
Inbound,Order Related,Installation/demo,Something ,,2023-01-08 10:00:00,2023-01-08 10:04:00,2023-08-01,Unknown,Unknown,,,Jennifer May,Zoe Yamamoto,William Kim,On Job Training,Morning,3.0,4.0
Inbound,Cancellation,Not Needed,No Remarks,,2023-01-08 21:05:00,2023-01-08 21:07:00,2023-08-01,Unknown,Unknown,,,Ryan Thompson,Olivia Wang,Emily Chen,31-60,Evening,5.0,2.0
Inbound,Order Related,Installation/demo,All good,2023-07-18 12:20:00,2023-02-08 20:03:00,2023-02-08 20:05:00,2023-08-02,NAGPUR,Electronics,15990.0,,David Butler,Olivia Wang,Emily Chen,31-60,Evening,5.0,2.0
Inbound,Returns,Reverse Pickup Enquiry,No Remarks,,2023-01-08 22:31:00,2023-01-08 22:59:00,2023-08-01,Unknown,Unknown,,,Stephen Morris,Wyatt Kim,Michael Lee,>90,Evening,5.0,28.0
